#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NW_027266188.1	1	170650	0	0	0	0	0	0
NW_027266190.1	1	56500	0	0	0	0	0	0
NW_027266191.1	1	23128	0	0	0	0	0	0
NW_027266192.1	1	36459	0	0	0	0	0	0
NW_027266193.1	1	54609	0	0	0	0	0	0
NW_027266194.1	1	21013	0	0	0	0	0	0
NW_027266195.1	1	65727	0	0	0	0	0	0
NW_027266196.1	1	26852	0	0	0	0	0	0
NW_027266197.1	1	32264	0	0	0	0	0	0
NW_027266198.1	1	14337	0	0	0	0	0	0
NW_027266199.1	1	67567	0	0	0	0	0	0
NW_027266200.1	1	160454	0	0	0	0	0	0
NW_027266201.1	1	84315	0	0	0	0	0	0
NW_027266202.1	1	67244	0	0	0	0	0	0
NW_027266203.1	1	25458	0	0	0	0	0	0
NW_027266205.1	1	50354	0	0	0	0	0	0
NW_027266206.1	1	38848	0	0	0	0	0	0
NW_027266207.1	1	95218	0	0	0	0	0	0
NW_027266208.1	1	68090	0	0	0	0	0	0
NW_027266209.1	1	135785	0	0	0	0	0	0
NW_027266210.1	1	51633	0	0	0	0	0	0
NW_027266211.1	1	19557	0	0	0	0	0	0
NW_027266212.1	1	71401	0	0	0	0	0	0
NW_027266213.1	1	69457	0	0	0	0	0	0
NW_027266214.1	1	24638	0	0	0	0	0	0
NW_027266215.1	1	6964	0	0	0	0	0	0
NW_027266217.1	1	18858	0	0	0	0	0	0
NW_027266218.1	1	24221	0	0	0	0	0	0
NW_027266220.1	1	21154	0	0	0	0	0	0
NW_027266221.1	1	64073	0	0	0	0	0	0
NW_027266222.1	1	51569	0	0	0	0	0	0
NW_027266223.1	1	23531	0	0	0	0	0	0
NW_027266224.1	1	48698	0	0	0	0	0	0
NW_027266225.1	1	18336	0	0	0	0	0	0
NW_027266226.1	1	68777	0	0	0	0	0	0
NW_027266227.1	1	18692	0	0	0	0	0	0
NW_027266228.1	1	7556	0	0	0	0	0	0
NW_027266229.1	1	8604	0	0	0	0	0	0
NW_027266230.1	1	77378	0	0	0	0	0	0
NW_027266231.1	1	36398	0	0	0	0	0	0
NW_027266233.1	1	17172	0	0	0	0	0	0
NW_027266234.1	1	62221	0	0	0	0	0	0
NW_027266235.1	1	19583	0	0	0	0	0	0
NW_027266236.1	1	12334	0	0	0	0	0	0
NW_027266237.1	1	29992	0	0	0	0	0	0
NW_027266238.1	1	29413	0	0	0	0	0	0
NW_027266239.1	1	43474	0	0	0	0	0	0
NW_027266240.1	1	20665	0	0	0	0	0	0
NW_027266241.1	1	25916	0	0	0	0	0	0
NW_027266242.1	1	16735	0	0	0	0	0	0
NW_027266243.1	1	35727	0	0	0	0	0	0
NW_027266244.1	1	18285	0	0	0	0	0	0
NW_027266245.1	1	40427	0	0	0	0	0	0
NW_027266246.1	1	60304	0	0	0	0	0	0
NW_027266247.1	1	12746	0	0	0	0	0	0
NW_027266248.1	1	20808	0	0	0	0	0	0
NW_027266249.1	1	9122	0	0	0	0	0	0
NW_027266250.1	1	8768	0	0	0	0	0	0
NW_027266251.1	1	9360	0	0	0	0	0	0
NW_027266252.1	1	31503	0	0	0	0	0	0
NW_027266253.1	1	41413	0	0	0	0	0	0
NW_027266254.1	1	17512	0	0	0	0	0	0
NW_027266255.1	1	17800	0	0	0	0	0	0
NW_027266256.1	1	8647	0	0	0	0	0	0
NW_027266257.1	1	19051	0	0	0	0	0	0
NW_027266258.1	1	11300	0	0	0	0	0	0
NW_027266260.1	1	9552	0	0	0	0	0	0
NW_027266261.1	1	12784	0	0	0	0	0	0
